entry_time,entry_index,entry_price,prob,p_tp,p_liq,exit_time,exit_index,exit_price,pnl,win
2024-08-24T16:25:00,25480,2790.37,0.7135163,2868.982333,2752.0531465,2024-08-24T21:37:00,25792,2752.0531465,-10.0,0
2024-08-24T16:26:00,25481,2800.01,0.778905,2878.893918090909,2761.5607717727275,2024-08-24T21:36:00,25791,2761.5607717727275,-10.0,0
2024-09-21T00:22:00,64837,2577.9,0.6962646,2650.526473636364,2542.500745909091,2024-09-21T01:53:00,64928,2542.500745909091,-10.0,0
2024-09-21T00:23:00,64838,2573.93,0.688657,2646.4446279090907,2538.5852612272724,2024-09-21T02:07:00,64942,2538.5852612272724,-10.0,0
2024-12-09T21:04:00,179839,3547.16,0.7444119,3647.093171272727,3498.4510438181815,2024-12-09T21:05:00,179840,3498.4510438181815,-10.0,0
2025-01-02T00:26:00,213161,3387.49,0.6879414,3482.9248319090907,3340.9736032272726,2025-01-02T13:01:00,213916,3482.9248319090907,15.0,1
2025-02-25T07:26:00,291341,2326.07,0.69027394,2391.601735727273,2294.1288296818184,2025-02-25T08:06:00,291381,2391.601735727273,15.0,1
2025-02-25T07:34:00,291349,2338.58,0.75042886,2404.4641765454544,2306.4670446363634,2025-02-25T08:19:00,291394,2404.4641765454544,15.0,1
2025-02-25T07:37:00,291352,2335.58,0.6889476,2401.3796583636363,2303.508240090909,2025-02-25T08:19:00,291394,2401.3796583636363,15.0,1
2025-03-02T15:45:00,299040,2230.54,0.7246934,2293.380395090909,2199.9106302727273,2025-03-02T16:34:00,299089,2293.380395090909,15.0,1
2025-03-02T15:46:00,299041,2229.31,0.70467067,2292.1157426363634,2198.697520409091,2025-03-02T16:34:00,299089,2292.1157426363634,15.0,1
2025-03-02T15:48:00,299043,2239.2,0.69128174,2302.2843709090907,2208.4517127272725,2025-03-02T16:34:00,299089,2302.2843709090907,15.0,1
2025-03-04T14:41:00,301856,2132.89,0.69720984,2192.9793282727273,2103.6015423181816,2025-03-04T14:43:00,301858,2103.6015423181816,-10.0,0
2025-03-04T14:42:00,301857,2109.15,0.7965402,2168.570507727273,2080.187535681818,2025-03-04T14:59:00,301874,2080.187535681818,-10.0,0
2025-03-04T14:43:00,301858,2113.61,0.7359637,2173.1561580909092,2084.5862917727272,2025-03-04T14:59:00,301874,2084.5862917727272,-10.0,0
2025-03-04T14:44:00,301859,2115.78,0.7100519,2175.3872929090912,2086.726493727273,2025-03-04T14:59:00,301874,2086.726493727273,-10.0,0
2025-03-04T14:45:00,301860,2111.47,0.7192194,2170.9558684545455,2082.475677863636,2025-03-04T14:59:00,301874,2082.475677863636,-10.0,0
2025-03-11T00:50:00,311105,1793.44,0.71128017,1843.966096,1768.8128080000001,2025-03-11T00:51:00,311106,1768.8128080000001,-10.0,0
2025-03-11T00:51:00,311106,1760.43,0.7777541,1810.0261142727272,1736.256095318182,2025-03-11T00:59:00,311114,1810.0261142727272,15.0,1
2025-03-11T19:36:00,312231,1949.09,0.70075506,2004.0011809999999,1922.3254505,2025-03-11T23:24:00,312459,1922.3254505,-10.0,0
2025-03-11T19:37:00,312232,1950.4,0.6848524,2005.3480872727273,1923.617461818182,2025-03-11T23:17:00,312452,1923.617461818182,-10.0,0
2025-03-11T19:46:00,312241,1949.6,0.6923359,2004.525549090909,1922.828447272727,2025-03-11T23:24:00,312459,1922.828447272727,-10.0,0
2025-03-11T20:02:00,312257,1948.4,0.68742305,2003.291741818182,1921.6449254545455,2025-03-11T23:25:00,312460,1921.6449254545455,-10.0,0
2025-03-11T20:03:00,312258,1946.83,0.6949931,2001.6775106363636,1920.0964844090909,2025-03-11T23:46:00,312481,1920.0964844090909,-10.0,0
2025-03-12T08:17:00,312992,1898.06,0.7227515,1951.5335267272726,1871.9961851818182,2025-03-12T09:04:00,313039,1951.5335267272726,15.0,1
2025-03-12T08:20:00,312995,1896.03,0.6883258,1949.446336090909,1869.9940607727272,2025-03-12T09:03:00,313038,1949.446336090909,15.0,1
2025-03-12T12:07:00,313222,1916.64,0.7086455,1970.636976,1890.321048,2025-03-12T13:37:00,313312,1890.321048,-10.0,0
2025-03-12T12:08:00,313223,1913.45,0.71214783,1967.357105,1887.1748525,2025-03-12T13:38:00,313313,1887.1748525,-10.0,0
2025-03-12T12:09:00,313224,1911.68,0.7414112,1965.5372392727272,1885.429157818182,2025-03-12T13:54:00,313329,1885.429157818182,-10.0,0
2025-03-12T12:10:00,313225,1909.65,0.69477,1963.4500486363638,1883.427033409091,2025-03-12T13:55:00,313330,1883.427033409091,-10.0,0
2025-03-12T12:11:00,313226,1910.61,0.7037618,1964.4370944545453,1884.3738508636363,2025-03-12T13:54:00,313329,1884.3738508636363,-10.0,0
2025-03-31T14:42:00,340737,1833.01,0.6943836,1884.6508908181818,1807.8394399545455,2025-04-01T08:23:00,341798,1884.6508908181818,15.0,1
2025-03-31T15:34:00,340789,1840.13,0.69973487,1891.9714806363638,1814.861669409091,2025-04-01T15:11:00,342206,1891.9714806363638,15.0,1
2025-03-31T16:49:00,340864,1842.59,0.69011116,1894.5007855454544,1817.2878891363634,2025-03-31T17:47:00,340922,1817.2878891363634,-10.0,0
2025-04-01T06:42:00,341697,1858.89,0.6879462,1911.260001,1833.3640605,2025-04-01T15:15:00,342210,1911.260001,15.0,1
2025-04-01T06:46:00,341701,1856.19,0.7038891,1908.4839346363638,1830.7011364090909,2025-04-01T15:14:00,342209,1908.4839346363638,15.0,1
2025-04-01T06:47:00,341702,1857.48,0.6918104,1909.8102774545455,1831.9734223636365,2025-04-01T15:14:00,342209,1909.8102774545455,15.0,1
2025-04-02T20:17:00,343952,1938.27,0.70810926,1992.876352090909,1911.6540287727273,2025-04-02T20:26:00,343961,1911.6540287727273,-10.0,0
2025-04-02T20:18:00,343953,1935.36,0.73988134,1989.8843694545453,1908.7839883636364,2025-04-02T20:26:00,343961,1908.7839883636364,-10.0,0
2025-04-02T20:19:00,343954,1941.28,0.7012955,1995.971152,1914.622696,2025-04-02T20:26:00,343961,1914.622696,-10.0,0
2025-04-02T20:20:00,343955,1930.94,0.7872836,1985.339846,1904.424683,2025-04-02T20:27:00,343962,1904.424683,-10.0,0
2025-04-02T20:21:00,343956,1929.34,0.75961035,1983.6947696363636,1902.8466539090907,2025-04-02T20:27:00,343962,1902.8466539090907,-10.0,0
2025-04-03T16:34:00,345169,1779.23,0.73254573,1829.3557615454545,1754.7979371363635,2025-04-04T08:19:00,346114,1829.3557615454545,15.0,1
2025-04-03T16:35:00,345170,1779.69,0.68852365,1829.828721,1755.2516205,2025-04-04T08:19:00,346114,1829.828721,15.0,1
2025-04-03T16:36:00,345171,1778.39,0.6944052,1828.4920964545456,1753.9694718636365,2025-04-04T08:19:00,346114,1828.4920964545456,15.0,1
2025-04-03T16:38:00,345173,1778.66,0.69135827,1828.7697030909092,1754.2357642727275,2025-04-04T08:19:00,346114,1828.7697030909092,15.0,1
2025-04-06T18:29:00,349604,1624.16,0.699001,1669.9170167272728,1601.8573301818183,2025-04-06T18:50:00,349625,1601.8573301818183,-10.0,0
2025-04-07T01:38:00,350033,1594.85,0.7167602,1639.781274090909,1572.9498097727271,2025-04-07T02:38:00,350093,1572.9498097727271,-10.0,0
2025-04-07T06:06:00,350301,1544.83,0.69901705,1588.3520742727271,1523.6166753181817,2025-04-07T06:17:00,350312,1523.6166753181817,-10.0,0
2025-04-07T06:07:00,350302,1550.33,0.68692523,1594.0070242727272,1529.0411503181817,2025-04-07T06:17:00,350312,1529.0411503181817,-10.0,0
2025-04-07T06:08:00,350303,1544.88,0.7341147,1588.403482909091,1523.6659887272729,2025-04-07T06:17:00,350312,1523.6659887272729,-10.0,0
2025-04-07T08:50:00,350465,1496.3,0.71757275,1538.4548518181819,1475.7530804545454,2025-04-07T11:38:00,350633,1475.7530804545454,-10.0,0
2025-04-07T09:27:00,350502,1492.01,0.704415,1534.0439908181818,1471.5219899545455,2025-04-07T13:51:00,350766,1534.0439908181818,15.0,1
2025-04-07T09:28:00,350503,1493.8,0.6985217,1535.8844199999999,1473.28741,2025-04-07T13:51:00,350766,1535.8844199999999,15.0,1
2025-04-07T09:30:00,350505,1496.82,0.7057044,1538.9895016363635,1476.2659399090908,2025-04-07T11:38:00,350633,1476.2659399090908,-10.0,0
2025-04-07T09:31:00,350506,1491.72,0.71607506,1533.7458207272728,1471.2359721818182,2025-04-07T13:51:00,350766,1533.7458207272728,15.0,1
2025-04-07T09:32:00,350507,1492.18,0.743835,1534.2187801818181,1471.6896555454546,2025-04-07T13:51:00,350766,1534.2187801818181,15.0,1
2025-04-07T09:33:00,350508,1494.56,0.7663593,1536.6658312727272,1474.0369738181817,2025-04-07T11:38:00,350633,1474.0369738181817,-10.0,0
2025-04-07T09:34:00,350509,1494.69,0.73807186,1536.7994937272729,1474.1651886818183,2025-04-07T11:38:00,350633,1474.1651886818183,-10.0,0
2025-04-07T10:41:00,350576,1495.4,0.6986862,1537.5294963636366,1474.8654390909091,2025-04-07T11:38:00,350633,1474.8654390909091,-10.0,0
2025-04-07T11:13:00,350608,1494.45,0.6949562,1536.5527322727273,1473.928484318182,2025-04-07T11:38:00,350633,1473.928484318182,-10.0,0
